architecture,latency_ms
traditional_rag,2558.0
traditional_rag,2790.0
traditional_rag,2532.0
traditional_rag,3480.0
traditional_rag,2559.0
traditional_rag,2763.0
traditional_rag,2433.0
traditional_rag,2994.0
traditional_rag,2758.0
traditional_rag,2149.0
traditional_rag,3275.0
traditional_rag,3481.0
traditional_rag,3582.0
traditional_rag,2047.0
traditional_rag,2837.0
traditional_rag,3305.0
traditional_rag,2766.0
traditional_rag,2761.0
traditional_rag,2969.0
traditional_rag,3686.0
traditional_rag,2408.0
traditional_rag,2773.0
traditional_rag,2214.0
traditional_rag,2635.0
traditional_rag,4505.0
traditional_rag,2705.0
traditional_rag,2311.0
traditional_rag,2968.0
traditional_rag,2047.0
traditional_rag,1950.0
traditional_rag,2758.0
traditional_rag,1698.0
traditional_rag,2396.0
traditional_rag,2456.0
traditional_rag,2969.0
agentic_rag,2207.0
agentic_rag,2045.0
agentic_rag,2512.0
agentic_rag,2094.0
agentic_rag,2298.0
agentic_rag,2007.0
agentic_rag,2354.0
agentic_rag,2771.0
agentic_rag,3570.0
agentic_rag,2251.0
agentic_rag,3174.0
agentic_rag,2661.0
agentic_rag,2354.0
agentic_rag,1966.0
agentic_rag,2279.0
agentic_rag,2202.0
agentic_rag,2558.0
agentic_rag,1947.0
agentic_rag,1737.0
agentic_rag,1787.0
agentic_rag,2513.0
agentic_rag,2149.0
agentic_rag,2149.0
agentic_rag,3685.0
agentic_rag,2066.0
agentic_rag,3263.0
agentic_rag,2346.0
agentic_rag,2643.0
agentic_rag,2372.0
agentic_rag,1636.0
agentic_rag,2281.0
agentic_rag,2634.0
agentic_rag,2454.0
agentic_rag,3367.0
agentic_rag,2670.0
agentic_rag,2184.0
agentic_rag,2012.0
agentic_rag,1740.0
agentic_rag,2621.0
agentic_rag,2143.0
agentic_rag,2198.0
agentic_rag,2794.0
agentic_rag,1865.0
agentic_rag,2048.0
agentic_rag,3172.0
agentic_rag,1943.0
agentic_rag,2461.0
agentic_rag,2350.0
agentic_rag,3179.0
agentic_rag,3089.0
agentic_rag,2639.0
agentic_rag,2149.0
agentic_rag,1965.0
agentic_rag,2333.0
agentic_rag,3070.0
agentic_rag,1866.0
agentic_rag,2023.0
agentic_rag,4608.0
agentic_rag,1637.0
agentic_rag,2486.0
agentic_rag,1814.0
agentic_rag,1579.0
agentic_rag,2719.0
agentic_rag,2531.0
agentic_rag,1664.0
agentic_rag,1535.0
agentic_rag,2150.0
agentic_rag,3378.0
agentic_rag,2251.0
agentic_rag,2406.0
agentic_rag,3018.0
agentic_rag,4300.0
agentic_rag,1945.0
agentic_rag,2265.0
agentic_rag,1931.0
agentic_rag,1841.0
agentic_rag,3892.0
agentic_rag,2141.0
agentic_rag,2258.0
agentic_rag,2252.0
agentic_rag,2969.0
agentic_rag,2150.0
agentic_rag,19556.0
agentic_rag,2265.0
agentic_rag,1830.0
agentic_rag,2770.0
agentic_rag,1842.0
agentic_rag,2354.0
agentic_rag,2252.0
agentic_rag,2968.0
agentic_rag,1916.0
agentic_rag,3408.0
agentic_rag,2254.0
agentic_rag,2082.0
agentic_rag,2623.0
agentic_rag,1842.0
agentic_rag,2892.0
agentic_rag,2123.0
agentic_rag,2559.0
agentic_rag,2661.0
agentic_rag,2272.0
agentic_rag,2350.0
agentic_rag,2625.0
agentic_rag,1842.0
agentic_rag,2402.0
agentic_rag,2202.0
agentic_rag,2388.0
agentic_rag,3448.0
agentic_rag,2049.0
agentic_rag,2249.0
agentic_rag,3071.0
agentic_rag,2303.0
agentic_rag,1884.0
agentic_rag,1850.0
agentic_rag,14400.0
agentic_rag,2699.0
agentic_rag,3221.0
agentic_rag,2009.0
agentic_rag,2139.0
agentic_rag,2093.0
agentic_rag,2002.0
agentic_rag,2852.0
agentic_rag,3494.0
agentic_rag,2149.0
agentic_rag,2251.0
agentic_rag,1944.0
agentic_rag,2948.0
agentic_rag,2992.0
agentic_rag,26005.0
agentic_rag,2048.0
agentic_rag,2356.0
agentic_rag,2155.0
agentic_rag,1995.0
agentic_rag,2501.0
agentic_rag,2148.0
agentic_rag,1842.0
agentic_rag,2718.0
agentic_rag,1915.0
agentic_rag,1712.0
agentic_rag,2150.0
agentic_rag,2223.0
agentic_rag,2384.0
agentic_rag,2148.0
agentic_rag,3789.0
agentic_rag,2120.0
agentic_rag,2280.0
agentic_rag,2357.0
agentic_rag,2556.0
agentic_rag,2046.0
agentic_rag,2866.0
agentic_rag,2867.0
agentic_rag,2269.0
agentic_rag,2028.0
agentic_rag,2251.0
agentic_rag,1741.0
agentic_rag,2702.0
