architecture,overall_score
traditional_rag,0.6733269241604688
traditional_rag,0.932455895929966
traditional_rag,0.7904762786438281
traditional_rag,0.862468609601414
traditional_rag,0.8673832577181094
traditional_rag,0.7687582957180917
traditional_rag,0.9519293652468962
traditional_rag,0.9353882868937049
traditional_rag,0.861572861189432
traditional_rag,0.8664733643901857
traditional_rag,0.9473748487752495
traditional_rag,0.8229973395655147
traditional_rag,0.9357351828983008
traditional_rag,0.9344861781237184
traditional_rag,0.7074577905885114
traditional_rag,0.7663540779862599
traditional_rag,0.9245105893469121
traditional_rag,0.7786752349013765
traditional_rag,0.6214037698412698
traditional_rag,0.7553040103291114
traditional_rag,0.8583970189378066
traditional_rag,0.8805557041770278
traditional_rag,0.6615516962817457
traditional_rag,0.9180561754062517
traditional_rag,0.913531389476157
traditional_rag,0.9501806139718888
traditional_rag,0.9112579664459047
traditional_rag,0.9022712416158862
traditional_rag,0.9135589475036197
traditional_rag,0.9353393605360107
traditional_rag,0.9210817375339232
traditional_rag,0.8155177181640073
traditional_rag,0.9402617066093628
traditional_rag,0.9200237143479801
traditional_rag,0.6996362882556912
traditional_rag,0.9272000605008418
traditional_rag,0.8992430327230821
traditional_rag,0.9319367972918468
traditional_rag,0.8821517474788112
traditional_rag,0.5700785468281067
traditional_rag,0.886646506242896
traditional_rag,0.8821116708845019
traditional_rag,0.9089067570889264
traditional_rag,0.871344674253301
traditional_rag,0.9229492620924546
traditional_rag,0.879979725875875
traditional_rag,0.8614392581319941
traditional_rag,0.9384465767525236
traditional_rag,0.9232489291189181
traditional_rag,0.8441695829136178
traditional_rag,0.8591262571544261
traditional_rag,0.8398181543930737
traditional_rag,0.8294497430696862
traditional_rag,0.8903617099442132
traditional_rag,0.8870223774690487
traditional_rag,0.6903527200353825
traditional_rag,0.8545227560505338
traditional_rag,0.9173050122826909
traditional_rag,0.8909173916896773
traditional_rag,0.8064806097596591
traditional_rag,0.8842081839842891
traditional_rag,0.858631270419622
traditional_rag,0.9334108097067656
traditional_rag,0.839260344318494
traditional_rag,0.6896400943459454
traditional_rag,0.7666217573986116
traditional_rag,0.9213671651638606
traditional_rag,0.8914023631840796
traditional_rag,0.7545416315648343
traditional_rag,0.8882443478287942
traditional_rag,0.906853620080613
traditional_rag,0.819567010622834
