architecture,company,difficulty,total_queries,successful_queries,failed_queries,context_precision,context_recall,context_relevancy,hit_rate_at_k,mrr_at_k,ndcg_at_k,average_retrieved_chunks,faithfulness,answer_relevancy,answer_correctness,answer_completeness,hallucination_rate,policy_compliance,romanized_query_understanding,code_mixed_handling,intent_classification_accuracy,company_domain_accuracy,escalation_correctness,tone_appropriateness,success_rate,failure_rate,average_latency_ms,p50_latency_ms,p95_latency_ms,average_token_usage,average_agent_steps,average_tool_calls,retrieval_quality_score,generation_quality_score,romanized_robustness_score,operational_quality_score,overall_score
agentic_graph_rag,ALL,ALL,300,300,0,0.5158,0.74,0.0488,0.74,0.6178,0.6436,4.0,0.7245,0.758,0.6649,0.4918,0.2755,0.8206,0.8339,1.0,1.0,1.0,0.75,0.8832,1.0,0.0,3099.3733,2354.5,3569.7,,,,0.551,0.6974,0.9112,1.0,0.7899
agentic_rag,ALL,ALL,300,300,0,0.5158,0.74,0.0488,0.74,0.6178,0.6436,4.0,0.7226,0.7536,0.6584,0.4937,0.2774,0.8152,0.8347,1.0,1.0,1.0,0.7533,0.8851,1.0,0.0,2637.4133,2351.0,3548.15,,,,0.551,0.6944,0.9122,1.0,0.7894
traditional_rag,ALL,ALL,300,300,0,0.5158,0.74,0.0488,0.74,0.6178,0.6436,4.0,0.718,0.7579,0.6574,0.4862,0.282,0.8184,0.8349,1.0,1.0,1.0,0.7467,0.8841,1.0,0.0,2524.19,2353.0,3509.75,,,,0.551,0.6927,0.9109,1.0,0.7886
